Language,From,Bias Δ,Utility Δ,Composite Δ
English,Baseline → Select,0.02400000000000002,0.015000000000000013,0.019500000000000073
English,Select → Sequential,0.013499999999999956,-0.012499999999999956,0.0004999999999999449
Urdu,Baseline → Select,0.20499999999999996,0.13250000000000006,0.16874999999999996
Urdu,Select → Sequential,0.015000000000000013,-0.10000000000000009,-0.04249999999999998
